name,address,region
Herba Med,Jl.  Gajah Mada 37 Kembangpaes,semarang
Ace Mark,Jl. Cikini Raya 58 GH  Menteng -,jakarta
Sinar Mulya Motor,Jl.  Karangrejo Raya 94-96,semarang
Skin Reviviscence Centre,Jl.  Raya Kalibutuh 123,surabaya
SD Merpati,Jl.  Cendana IV Kompleks Poris Indah Blok E,tangerang
Bank Rakyat Indonesia (BRI) Jl Dipati Ukur,Jl.  Dipati Ukur 26-B,bandung
Asuransi Jiwa Bumi Asih Jaya Jl Teuku Umar,Jl.  Teuku Umar 45,bekasi
SMP Negeri I Paliyan,Jl.  Dn Tahunan 75,yogyakarta
Warung Abadi,Jl.  Kebraon II 3,surabaya
Toro Djaya Photo,Jl.  Alternatif Kompleks Citra Blok R-2/26,bekasi
ATM BCA Cinere,Jl.  Raya Cinere Blok A/18-19,jakarta
Ummi Butik,Jl.  Cikini 13,jakarta
Pusaka Mataram CV,Jl.  Cibogo 57 Sukawarna Sukajadi,bandung
Depot Restu,Jl.  Mayjen Sungkono 243-D,surabaya
Fortune Sewa,Jl Margorejo Indah VIII B/724,surabaya
Apotik Dharma Mulya,Jl.  Sultan Agung 92,semarang
SMA Masehi 2 PSAK,Jl.  Gemah Raya 8,semarang
Gloria Pusat Belanja,Jl.  Aris Munandar 50 Kauman Klojen,malang
The Warehouse Gym,Jl Raya Margorejo 97-99,surabaya
Excellent Holidays,Jl.  WR Supratman 3,bandung
Surya Agung Mandiri,Jl Sunter Paradise Tmr Raya Bl F-21/52,jakarta
La Mariage Bridal And Salon,Jl.  Mangga Besar VIII 4-D,jakarta
SMA Negeri 34,Jl.  Margasatwa Raya 1,jakarta
TK Al Fathir,Jl.  Semarang 12/109,tangerang
TK Nurini Haruni,Jl.  Gunuk 17,jakarta
SMP Perwira Jakarta,Jl.  H Dilun 4,jakarta
Digital Foto,Jl.  Letjen Sutoyo 7,surabaya
Depot 631,Jl.  Raya Mulyosari 236,surabaya
Caharlie Salon,Jl.  Anggrek Garuda Raya Blok D-1/61,jakarta
SD Negeri Bintara 2,Jl.  Bintara Raya 12,bekasi
Gowa Makassar Tourism Development PT Tbk,Jl.  Metro Tj Bunga Kav 3-5 Akkarena,makassar
Service Center Handphone Samsung (PT. Graha Service Indonesia) MTC Karebosi,MTC Karebosi Lantai 3 B-02 Makasar,makassar
Silk Boutique,Jl Jend Gatot Subroto 288,medan
Bali Bambu Kios,Jl R Sukawati,denpasar
Gunung Hijau Cars & Project Equipment,Jl.  Perbatasan 38 Gelugur Darat I,medan
SD Negeri 14 Pagi Jatinegara Kaum,Jl.  Jatinegara Kaum,jakarta
Depot Sera,Jl.  Panjang Jiwo Permai VI 3,surabaya
AIA Financial Jl Raya Prof Dr Latumeten,Jl.  Raya Prof Dr Latumeten 16,jakarta
PT Hasasi International,Jl.  Sukahaji 3,bandung
Madrasah Tsanawiyah Al Islamiah,Jl.  Srengseng Raya 26-A,jakarta
Frankie And Juliany Salon,Jl.  Goa I 1 Asrama III,bandung
Palem Semesta Cemerlang PT,Jl.  Raya Mangga Besar 76,jakarta
Henny Rias,Jl.  Hasan Mustofa 156,bandung
Sekolah Tinggi Ilmu Ekonomi Trikom,Jl.  Brigjend Katamso 32 IJ Aur,medan
Toko Circle K,Jl Parangtritis 98,yogyakarta
Polsek Neglasari,Jl.  Marsekal Surya Dharma,jakarta
Apotik Tiban Farma,Ruko Tiban Lestari Blok RA/9-10,batam
Bank Central Asia (BCA) Mall Mangga Dua,Jl.  Raya Mangga Dua Mal Mangga Dua 49,jakarta
Makmur Jaya,Jl.  Pluit Sakti Raya 85,jakarta
Rumah Makan Harum Wangi,Jl.  Kali Besar Barat 24,jakarta
SD Negeri Gadang 4,"Jl.  Gadang IX/18, Gadang, Sukun",malang
Bank OCBC NISP Kompl Citra Garden,Kompleks Citra Garden II Blok H-2/5,jakarta
SMA Tunas Harapan,Jl.  Pahlawan 142,bogor
Kedutaan Besar Kanada Kebayoran Baru,Jl. Aditiawarman 6 Kebayoran Baru -,jakarta
Urip Kantin,Jl.  Jendral Urip Sumoharjo 16-16-A,makassar
Amar Kitchen,Jl.  Dc Barito 3-A,medan
Mini Market Victoria,Ruko Aviari Bl D-1/2,batam
ATM Panin Kedoya Angsana,Jl.  Kedoya Angsana Blok II/46,jakarta
Pendopo 45 Bangil Hotel & Restaurant,Jl.  Raya Jampang 45 Babakan,bogor
Hotel Halo Batam,Kompleks Bumi Indah Blok V/34,batam
ATM Mayapada Green Garden,Kompleks Green Garden Blok Z-2,jakarta
Panca Karya Variasi Hotel,"Jl.  Raya Puncak Km 81,3, Cisarua",bogor
Bank Commonwealth Jl Raya Melawai,Jl.  Raya Melawai 110-B,jakarta
Are Jaya Penginapan,Jl.  Raya Sedati Gede 47  Sedati,surabaya
TK Budi Mulia 2,Jl.  Ir H Juanda 8,jakarta
SD Negeri Klopo Sepuluh 2,Jl.  Klopo Sepuluh,sidoarjo
ATM OCBC NISP Kemang Pratama,Jl.  Raya Kemang Pratama Blok AM/4C,bekasi
ATM BCA Toko Yogya,Jl.  Kepatihan 8,bandung
Realta Chakradarma PT,Jl.  Petojo Melintang 25 A,jakarta
ATM Permata MM Nirwana,Jl.  Petitenget 8,denpasar
Toko Twins Colletion,Jl.  RS Fatmawati 39 ITC Fatmawati/64 Lantai 1,jakarta
ATM Mega Medan Fair,Jl.  Jendral Gatot Subroto 30 Plaxa,medan
PT Bank Karman,Jl.  Sriwijaya 5,surabaya
Yayasan Jurnal Ummat Islam,Jl.  Siaga II 23 Pejaten Barat Pasar Minggu,jakarta
Anggie Salon,Jl.  Monjali 76,yogyakarta
Clinic Body,Jl.  Prapanca Raya 37 Melawai Kebayoran Baru,jakarta
Bank Panin Jl Sungai Sambas,Jl.  Sungai Sambas VI 189-H,jakarta
TK Victoria,Ruko Taman Gapura Citra Raya Blok D/11,surabaya
Suzuki Purworejo,Jl.  Jendral A Yani 72 Baledono,purworejo
SD Negeri 01 Cihedeung Udik,Jl.  Babakan Kemang,bogor
Apotik Kasih Ibu,Jl.  Karet Pasar Baru Barat 14 B,jakarta
SMA Harapan Bangsa,Jl.  Raya P Putri Kav 10 Kompleks Modernland,tangerang
