fakultas,strata,gelar,singkatan
Akuntansi,D3,Ahli Madya,A.Md.
Kesekretariatan,D3,Ahli Madya,A.Md.
Manajemen,S1,Sarjana Ekonomi,S.E.
Ekonomi Pembangunan,S1,Sarjana Ekonomi,S.E.
Akuntansi,S1,Sarjana Ekonomi,S.E.
Ilmu Hukum,S1,Sarjana Hukum,S.H.
Teknik Sipil,S1,Sarjana Teknik,S.T.
Teknik Pertambangan,S1,Sarjana Teknik,S.T.
Teknik Kimia,S1,Sarjana Teknik,S.T.
Teknik Elektro,S1,Sarjana Teknik,S.T.
Teknik Mesin,S1,Sarjana Teknik,S.T.
Arsitektur,S1,Sarjana Teknik,S.T.
Pendidikan Dokter,S1,Sarjana Kedokteran,S.Ked.
Ilmu Keperawatan,S1,Sarjana Keperawatan,S.Kep.
Pendidikan Dokter Gigi,S1,Sarjana Kedokteran Gigi,SKG.
Agribisnis,S1,Sarjana Pertanian,S.P.
Teknik Pertanian,S1,Sarjana Teknologi Pertanian,S.TP.
Teknologi Hasil Pertanian,S1,Sarjana Teknologi Pertanian,S.TP.
Peternakan,S1,Sarjana Peternakan,S.PT.
Budaya Perairan,S1,Sarjana Perikanan,S.Pi.
Pendidikan Bahasa Inggris,S1,Sarjana Pendidikan,S.Pd.
Pendidikan Teknik Mesin,S1,Sarjana Pendidikan,S.Pd.
Pendidikan Matematika,S1,Sarjana Pendidikan,S.Pd.
Pendidikan Fisika,S1,Sarjana Pendidikan,S.Pd.
Administrasi Negara,S1,Sarjana Ilmu Politik,S.I.P.
Sosiologi,S1,Sarjana Ilmu Sosial,S.Sos
Matematika,S1,Sarjana Sains,S.Si.
Fisika,S1,Sarjana Sains,S.Si.
Kimia,S1,Sarjana Sains,S.Si.
Biologi,S1,Sarjana Sains,S.Si.
Ilmu Kelautan,S1,Sarjana Kelautan,S.Kel.
Farmasi,S1,Sarjana Farmasi,S.Fam.
Sistem Komputer,S1,Sarjana Komputer,S.Kom.
Teknik Informatika,S1,Sarjana Komputer,S.Kom.
Sistem Informasi,S1,Sarjana Komputer,S.Sl.
Magister Manajemen,S2,Magister Manajemen,M.M.
Ilmu Ekonomi,S2,Magister Sains,M.Si.
Ilmu Manajemen,S2,Magister Sains,M.Si.
Ilmu Hukum,S2,Magister Hukum,M.H.
Kenotarian,S2,Magister Kenotarian,M.Kn.
Teknik Kimia,S2,Magister Teknik,M.T.
Teknik Sipil,S2,Magister Teknik,M.T.
Teknik Mesin,S2,Magister Teknik,M.T.
Teknik Pertambangan,S2,Magister Teknik,M.T.
Ilmu Biomedik,S2,Magister Kesehatan,M.Kes.
